iter	Logloss
0	0.6658247851
1	0.6338789184
2	0.6017425598
3	0.5747311897
4	0.5511821637
5	0.5324835183
6	0.5122203048
7	0.494956718
8	0.4812511255
9	0.4663754943
10	0.4512958083
11	0.4373595894
12	0.4255699996
13	0.4159857379
14	0.4063141175
15	0.397182012
16	0.3895994238
17	0.3823200104
18	0.3745595567
19	0.3689477775
20	0.3649709432
21	0.3590890158
22	0.3545460702
23	0.3526470369
24	0.3489808573
25	0.3455242752
26	0.3413591921
27	0.337837504
28	0.3339876262
29	0.3319693619
30	0.3284556218
31	0.3260025152
32	0.3234233853
33	0.3203852075
34	0.3169300437
35	0.3147263112
36	0.3128513555
37	0.3114653622
38	0.3108288558
39	0.3098177778
40	0.307843207
41	0.3062092002
42	0.3034880898
43	0.302587357
44	0.3008784474
45	0.3000362812
46	0.2982176439
47	0.2972317588
48	0.2956932428
49	0.2945608149
50	0.2928984176
51	0.291210426
52	0.2902457445
53	0.2896515724
54	0.2872008727
55	0.2856493755
56	0.2845392635
57	0.2827409528
58	0.2827207275
59	0.2826839249
60	0.2825232473
61	0.2816050878
62	0.279737362
63	0.2790565989
64	0.2780840014
65	0.2774084288
66	0.2759514365
67	0.2749234958
68	0.2747321443
69	0.2742542124
70	0.2736516431
71	0.2723391962
72	0.2719500772
73	0.2715372738
74	0.2688845423
75	0.2679841988
76	0.267559585
77	0.2671990579
78	0.267188432
79	0.2666152866
80	0.266153828
81	0.2653110073
82	0.2644077958
83	0.2627530892
84	0.2612180128
85	0.2593969821
86	0.2590297828
87	0.2580379416
88	0.256531198
89	0.2562379092
90	0.2549761149
91	0.2545480731
92	0.2542218318
93	0.2539595056
94	0.25310811
95	0.2525330733
96	0.2512138248
97	0.2503683287
98	0.2503282169
99	0.2502794649
