iter	Passed	Remaining
0	1	118
1	1	79
2	2	69
3	2	62
4	3	57
5	3	50
6	3	47
7	4	46
8	4	45
9	4	44
10	5	43
11	5	42
12	6	41
13	6	40
14	6	38
15	7	38
16	7	37
17	8	36
18	8	36
19	8	35
20	9	34
21	9	34
22	10	34
23	10	32
24	10	32
25	11	31
26	11	31
27	12	31
28	12	30
29	12	29
30	13	29
31	13	29
32	14	28
33	14	28
34	15	28
35	15	27
36	16	28
37	17	27
38	17	27
39	18	27
40	18	26
41	19	26
42	19	25
43	19	25
44	20	24
45	20	24
46	21	24
47	21	23
48	22	23
49	22	22
50	23	22
51	23	21
52	24	21
53	24	21
54	25	20
55	25	20
56	26	19
57	26	19
58	27	18
59	27	18
60	27	17
61	28	17
62	28	16
63	29	16
64	29	15
65	30	15
66	31	15
67	31	14
68	31	14
69	32	13
70	32	13
71	33	12
72	33	12
73	34	12
74	34	11
75	35	11
76	35	10
77	36	10
78	36	9
79	36	9
80	37	8
81	37	8
82	38	7
83	38	7
84	39	6
85	39	6
86	40	6
87	40	5
88	41	5
89	41	4
90	42	4
91	42	3
92	43	3
93	43	2
94	44	2
95	44	1
96	45	1
97	45	0
98	46	0
99	46	0
