date,LSTM,GRU
2014-08-17,9322.118,19163.684
2014-08-24,10579.131,19311.807
2014-08-31,12916.164,19711.314
2014-09-07,17627.367,20607.947
2014-09-14,24465.7,22044.879
2014-09-21,30309.902,23983.896
2014-09-28,33365.97,25990.094
2014-10-05,32664.166,27694.795
2014-10-12,31102.617,28499.416
2014-10-19,30370.783,28661.686
2014-10-26,30170.424,28590.979
2014-11-02,26912.875,28031.168
2014-11-09,24092.467,27456.52
2014-11-16,24385.71,26972.854
2014-11-23,27649.408,26662.709
2014-11-30,31683.2,26671.32
2014-12-07,30965.16,27847.744
2014-12-14,30586.578,28201.834
2014-12-21,28938.62,28216.709
2014-12-28,24303.89,27630.023
2015-01-04,15530.047,26132.803
2015-01-11,14236.565,24686.39
2015-01-18,20899.113,23941.668
2015-01-25,31819.938,24330.197
2015-02-01,41101.67,26419.691
2015-02-08,43071.918,30118.328
2015-02-15,47368.727,31991.592
2015-02-22,45509.047,33610.914
2015-03-01,41060.242,34201.074
2015-03-08,34851.9,33456.348
2015-03-15,30091.893,32040.043
2015-03-22,28857.176,30207.53
2015-03-29,27822.064,29159.465
2015-04-05,28328.396,28034.088
2015-04-12,26634.914,27806.479
2015-04-19,25828.406,27255.676
2015-04-26,23695.312,26698.844
2015-05-03,20769.334,25887.902
2015-05-10,17207.26,24986.21
2015-05-17,15759.388,23949.785
2015-05-24,16050.437,23055.455
2015-05-31,16125.689,22559.781
2015-06-07,14755.92,22177.09
2015-06-14,12612.516,21882.441
2015-06-21,11699.54,21330.27
2015-06-28,11323.192,20832.896
2015-07-05,10843.38,20362.531
2015-07-12,9420.0625,20117.002
2015-07-19,8721.238,19747.25
2015-07-26,8663.106,19431.834
2015-08-02,8905.544,19201.652
2015-08-09,9033.151,19160.818
2015-08-16,9425.175,19212.266
2015-08-23,10265.98,19325.992
2015-08-30,11874.334,19595.068
2015-09-06,15499.023,20267.719
2015-09-13,22045.223,21512.93
2015-09-20,28944.686,23289.072
2015-09-27,32918.332,25345.686
2015-10-04,33043.203,27234.766
2015-10-11,32041.113,28441.197
2015-10-18,31823.42,28824.037
2015-10-25,31591.662,28897.975
2015-11-01,28996.666,28642.066
2015-11-08,26043.994,28186.643
2015-11-15,25386.545,27556.004
2015-11-22,26945.312,27119.834
2015-11-29,29945.012,26962.848
2015-12-06,30752.701,27608.023
2015-12-13,30779.943,28016.896
2015-12-20,29870.256,28219.904
2015-12-27,26546.078,27948.928
2016-01-03,18541.324,26729.857
2016-01-10,18217.736,25648.236
2016-01-17,30316.604,25917.021
2016-01-24,54405.285,28462.162
2016-01-31,71434.65,33158.75
2016-02-07,64712.94,38699.223
2016-02-14,49863.223,40405.668
2016-02-21,31130.918,38930.867
2016-02-28,25126.244,34191.96
2016-03-06,24383.732,30136.635
2016-03-13,25506.33,28332.996
2016-03-20,29687.74,27261.719
2016-03-27,29910.86,27841.945
2016-04-03,31688.047,27738.76
2016-04-10,29945.104,28487.64
2016-04-17,30549.889,28387.518
2016-04-24,30891.98,28452.695
2016-05-01,27497.26,28125.209
2016-05-08,21882.977,27317.096
2016-05-15,17874.756,26162.377
2016-05-22,16847.318,24826.814
2016-05-29,18120.354,23485.324
2016-06-05,16462.771,23142.346
2016-06-12,13901.197,22668.945
2016-06-19,12356.991,21946.596
2016-06-26,11724.135,21319.865
2016-07-03,11480.474,20802.19
2016-07-10,11206.738,20434.416
2016-07-17,10533.437,20272.496
2016-07-24,10428.995,20073.89
2016-07-31,10581.048,19900.02
2016-08-07,10697.77,19871.518
2016-08-14,11217.524,19922.033
2016-08-21,12135.014,20072.848
2016-08-28,13808.015,20354.11
2016-09-04,16643.729,20971.584
2016-09-11,22540.477,22109.125
2016-09-18,29794.75,23810.66
2016-09-25,35083.07,25899.912
2016-10-02,36316.25,27908.3
2016-10-09,34626.008,29405.393
2016-10-16,33365.664,29851.62
2016-10-23,32794.543,29840.328
2016-10-30,31306.975,29496.83
2016-11-06,29625.502,29141.621
2016-11-13,29419.459,28765.424
2016-11-20,30748.94,28581.338
2016-11-27,33834.38,28620.115
2016-12-04,35886.05,29397.23
2016-12-11,38502.707,30232.156
2016-12-18,41316.375,31247.38
2016-12-25,42257.586,32194.695
2017-01-01,32868.594,31788.816
2017-01-08,27453.2,30966.13
2017-01-15,28865.434,30042.387
2017-01-22,35250.008,29196.979
2017-01-29,42315.684,29089.553
2017-02-05,38115.83,31856.473
2017-02-12,39972.508,31772.52
2017-02-19,36145.84,31749.342
2017-02-26,33300.26,31491.098
2017-03-05,32159.52,30838.438
2017-03-12,34272.18,30288.545
2017-03-19,37994.977,30092.125
2017-03-26,36387.98,30986.936
2017-04-02,35854.273,30719.268
2017-04-09,32008.89,30774.152
2017-04-16,29937.004,29989.928
2017-04-23,29656.814,29171.049
2017-04-30,27687.682,28495.578
2017-05-07,23698.844,27492.834
2017-05-14,20509.822,26567.13
2017-05-21,19279.797,25594.262
2017-05-28,20317.973,24509.916
2017-06-04,19468.5,24014.562
2017-06-11,15762.43,23739.928
2017-06-18,13943.072,22862.576
2017-06-25,13126.91,22185.307
2017-07-02,13172.613,21530.514
2017-07-09,12839.239,21104.32
2017-07-16,11530.395,20936.938
2017-07-23,10934.381,20615.873
2017-07-30,11102.522,20306.822
2017-08-06,11131.209,20171.39
2017-08-13,11295.446,20116.295
2017-08-20,11844.983,20182.104
2017-08-27,13183.335,20376.613
2017-09-03,16262.379,20849.002
2017-09-10,22798.697,22026.732
2017-09-17,31119.69,23906.092
2017-09-24,37993.145,26288.264
2017-10-01,40868.38,28808.691
2017-10-08,39771.59,30823.709
2017-10-15,37871.88,31573.18
2017-10-22,36104.37,31691.217
2017-10-29,33512.008,31205.059
2017-11-05,30211.338,30313.166
