,LSTM,GRU
0,-0.9922817,0.04645999
1,-0.93598586,0.056896854
2,-0.8548954,0.06866197
3,-0.73612994,0.08169083
4,-0.5607414,0.09585252
5,-0.30783242,0.110941395
6,0.021939728,0.12667906
7,0.37407476,0.14272952
8,0.67582625,0.15872633
9,0.90105635,0.17430577
10,1.0604538,0.18914086
11,1.1720144,0.20296732
12,1.2504648,0.21559691
13,1.3061925,0.226919
14,1.3462273,0.2368918
15,1.3752822,0.24552691
16,1.3965315,0.25287172
17,1.4121226,0.2589916
18,1.4235274,0.2639603
19,1.4317608,0.26785105
20,1.4375187,0.27072802
21,1.4412624,0.2726398
22,1.4432753,0.27361542
23,1.4436926,0.27366132
24,1.4425155,0.27276024
25,1.4396089,0.2708709
26,1.4346766,0.26792622
27,1.4272139,0.26383334
28,1.41642,0.2584734
29,1.4010462,0.2517039
30,1.3791398,0.24336642
31,1.3475813,0.23329836
32,1.3012325,0.22135353
33,1.2313191,0.20743218
34,1.1223148,0.19151916
35,0.9465858,0.17372677
36,0.661374,0.15432939
37,0.24403195,0.13377333
38,-0.20889623,0.112647876
39,-0.55903304,0.09161677
40,-0.78757167,0.071329296
41,-0.93068653,0.052336335
42,-1.020394,0.03503726
43,-1.0773141,0.019662857
44,-1.113908,0.006289929
45,-1.1376634,-0.0051251277
46,-1.1531552,-0.014707722
47,-1.1632459,-0.022628054
48,-1.1697723,-0.029072069
49,-1.1739408,-0.034220666
50,-1.1765579,-0.03823612
51,-1.1781684,-0.041254543
52,-1.1791395,-0.043381967
53,-1.1797104,-0.044692412
54,-1.1800244,-0.045227133
55,-1.1801422,-0.044993155
56,-1.1800488,-0.043961547
57,-1.1796438,-0.04206404
58,-1.1787223,-0.039188534
59,-1.1769342,-0.03517372
60,-1.1737133,-0.029803075
61,-1.1681496,-0.022801168
62,-1.158756,-0.013835035
63,-1.143022,-0.0025258139
64,-1.1165024,0.011520706
65,-1.070834,0.028655171
66,-0.9890691,0.049090847
67,-0.8341927,0.07277526
68,-0.52629036,0.09925442
69,0.020766724,0.12759756
70,0.6105982,0.15647118
71,0.99287575,0.18439576
72,1.2043571,0.21008483
73,1.3211082,0.23269266
74,1.3875852,0.25187445
75,1.4267163,0.2676905
76,1.4503814,0.28045234
77,1.4649664,0.29058328
78,1.4740547,0.2985233
79,1.4797393,0.30467433
80,1.4832834,0.30937514
81,1.485469,0.31289336
82,1.4867886,0.31542623
83,1.4875528,0.31710577
84,1.4879494,0.31800306
85,1.4880743,0.318128
86,1.4879375,0.31740305
87,1.4874188,0.31562543
88,1.4862189,0.31248087
89,1.4837188,0.30749354
90,1.4786955,0.29997212
91,1.4688162,0.28908312
92,1.4499022,0.27409995
93,1.4143612,0.25466317
94,1.3481013,0.23108265
95,1.2232158,0.20433387
96,0.98157,0.17573932
97,0.52755237,0.14658096
98,-0.088127375,0.11793722
99,-0.560809,0.090629704
100,-0.8316147,0.06530691
101,-0.9811022,0.042461075
102,-1.0655187,0.02238864
103,-1.1144521,0.0051883757
104,-1.1432893,-0.00922735
105,-1.160317,-0.021082312
106,-1.1702092,-0.030677237
107,-1.1757233,-0.03833756
108,-1.1785513,-0.04437592
109,-1.1797655,-0.049070224
110,-1.1800628,-0.05265314
111,-1.1799043,-0.05531033
112,-1.1795967,-0.057181723
113,-1.1793402,-0.058364905
114,-1.1792588,-0.058917858
115,-1.1794147,-0.058860697
116,-1.1798149,-0.058174305
117,-1.1804069,-0.056797497
118,-1.1810656,-0.054619797
119,-1.1815633,-0.051471435
120,-1.1815181,-0.047109738
121,-1.1802986,-0.041203134
122,-1.1768477,-0.033316627
123,-1.1693401,-0.022905149
124,-1.1544626,-0.009328447
125,-1.1257839,0.008091435
126,-1.0696416,0.029942892
127,-0.95356834,0.05650337
128,-0.69266075,0.087436035
129,-0.120780066,0.121519364
130,0.5997444,0.15666044
131,1.041795,0.19038984
132,1.2593719,0.22062826
133,1.3672419,0.24620822
134,1.4231832,0.2668958
135,1.4533705,0.28309318
136,1.4700605,0.29549867
137,1.4793506,0.30486527
138,1.4844538,0.31187096
139,1.4871507,0.3170699
140,1.4884684,0.3208848
141,1.4890199,0.32361683
142,1.4891839,0.32546714
143,1.4892006,0.32653713
144,1.4892229,0.32679445
145,1.4893211,0.32602835
146,1.4893972,0.32372162
147,1.4888418,0.31873748
148,1.4854659,0.3088523
149,1.4726155,0.29059196
150,1.4320629,0.2608509
151,1.3174767,0.22105506
152,1.0246875,0.1788277
153,0.43817645,0.1420328
154,-0.19140317,0.11325905
155,-0.5699396,0.09110047
156,-0.77535206,0.07341376
157,-0.8963169,0.05866872
158,-0.97389627,0.04596901
159,-1.0266607,0.034856897
160,-1.0638356,0.025117714
161,-1.0905725,0.016641617
162,-1.1100222,0.009357851
163,-1.1242378,0.0032069758
164,-1.134612,-0.0018681064
165,-1.1421094,-0.005921662
166,-1.1474001,-0.009001784
167,-1.1509414,-0.011146411
168,-1.1530273,-0.012379475
169,-1.1538191,-0.012708135
170,-1.1533549,-0.012120493
171,-1.1515522,-0.010583587
172,-1.1481892,-0.008042388
173,-1.1428708,-0.0044195727
174,-1.1349651,0.00038398802
175,-1.1234953,0.0064864606
176,-1.1069577,0.014019046
177,-1.0830044,0.02311603
178,-1.0478784,0.033900388
179,-0.99537253,0.04646174
