iter	RMSE
0	4.14742418
1	4.116419852
2	4.08767081
3	4.065490716
4	4.049829685
5	4.032882558
6	4.013170804
7	4.006606518
8	3.99828887
9	3.988654606
10	3.973847351
11	3.969711439
12	3.966802135
13	3.961392707
14	3.950509396
15	3.947566807
16	3.932412708
17	3.92376819
18	3.916288885
19	3.908570922
20	3.904246809
21	3.900329729
22	3.874778895
23	3.864733646
24	3.863277527
25	3.849689943
26	3.843698561
27	3.840328056
28	3.828884511
29	3.826016557
30	3.819291074
31	3.814351328
32	3.813222864
33	3.796223367
34	3.793723687
35	3.789844924
36	3.770113271
37	3.766995944
38	3.753068218
39	3.741916764
40	3.727208015
41	3.724155204
42	3.721472717
43	3.718546042
44	3.707873094
45	3.701674222
46	3.700451696
47	3.689899998
48	3.687845082
49	3.683381338
50	3.674455698
51	3.672039468
52	3.670398239
53	3.66674016
54	3.657685634
55	3.651384857
56	3.650472938
57	3.635638953
58	3.632734715
59	3.629509973
60	3.627226936
61	3.625875729
62	3.625100307
63	3.619980855
64	3.613393742
65	3.606535625
66	3.601465346
67	3.600126167
68	3.599072796
69	3.596855453
70	3.595121122
71	3.593434652
72	3.588040119
73	3.577928382
74	3.574065846
75	3.570475073
76	3.565374154
77	3.564260967
78	3.56274614
79	3.562048478
80	3.558763719
81	3.556295193
82	3.55542726
83	3.554159742
84	3.552981167
85	3.552258658
86	3.550649145
87	3.549618757
88	3.546820911
89	3.542138427
90	3.540382189
91	3.537610267
92	3.536381162
93	3.534247402
94	3.53241609
95	3.524687547
96	3.524165491
97	3.52338695
98	3.52264285
99	3.520112372
100	3.518857234
101	3.513793235
102	3.511316489
103	3.510663458
104	3.50969137
105	3.508649302
106	3.50206476
107	3.497571612
108	3.495092807
109	3.49419694
110	3.493503261
111	3.491202488
112	3.487879326
113	3.486045299
114	3.482404201
115	3.480057235
116	3.4791454
117	3.478657553
118	3.474742434
119	3.472939518
120	3.467215167
121	3.465273248
122	3.463789686
123	3.461382484
124	3.460498223
125	3.460003481
126	3.454720704
127	3.453816843
128	3.453344525
129	3.452633908
130	3.449335298
131	3.447145163
132	3.446512788
133	3.444443448
134	3.443329683
135	3.442935949
136	3.442177953
137	3.436089514
138	3.434433654
139	3.430843284
140	3.430515894
141	3.429745933
142	3.429474165
143	3.427692309
144	3.424639898
145	3.423574851
146	3.421927291
147	3.421336318
148	3.419864931
149	3.415515956
150	3.414720015
151	3.413118255
152	3.412643366
153	3.412129828
154	3.410818439
155	3.40970449
156	3.408187699
157	3.406345699
158	3.404472522
159	3.403413496
160	3.396823767
161	3.39282724
162	3.388213754
163	3.385995165
164	3.385457641
165	3.384986957
166	3.383505535
167	3.381318687
168	3.378524169
169	3.374991041
170	3.374553264
171	3.374122772
172	3.371125878
173	3.370831314
174	3.369640666
175	3.369029694
176	3.368334161
177	3.366930988
178	3.366728117
179	3.365118065
180	3.363942606
181	3.363408519
182	3.363204597
183	3.360549808
184	3.359667789
185	3.358155483
186	3.354384499
187	3.353243029
188	3.352864132
189	3.352175918
190	3.34670261
191	3.344810229
192	3.34353125
193	3.341879444
194	3.341021191
195	3.340514869
196	3.338944278
197	3.33528566
198	3.33441052
199	3.333230056
200	3.332682429
201	3.33230735
202	3.328425954
203	3.326603059
204	3.32579756
205	3.325182337
206	3.324697257
207	3.324027096
208	3.322555781
209	3.322415119
210	3.3215734
211	3.320769054
212	3.320415539
213	3.318889147
214	3.318573057
215	3.316755304
216	3.316266877
217	3.314691082
218	3.31446691
219	3.313329324
220	3.312914744
221	3.311192128
222	3.310384217
223	3.310079549
224	3.308044068
225	3.306366005
226	3.301438414
227	3.301040148
228	3.300754214
229	3.300315746
230	3.298866439
231	3.298576698
232	3.298077791
233	3.297435494
234	3.297081942
235	3.295431295
236	3.291297405
237	3.290178332
238	3.289807014
239	3.289088508
240	3.288643763
241	3.288220962
242	3.287444699
243	3.28670462
244	3.286491665
245	3.286059778
246	3.285503859
247	3.285138147
248	3.284365412
249	3.283895695
250	3.283025964
251	3.282785173
252	3.282171474
253	3.281730768
254	3.281558587
255	3.281205933
256	3.279755764
257	3.279557514
258	3.27926648
259	3.278920009
260	3.278671558
261	3.27813882
262	3.276476083
263	3.276177469
264	3.275950194
265	3.275667833
266	3.274973457
267	3.274871853
268	3.274134784
269	3.272990209
270	3.272689828
271	3.272360858
272	3.270724805
273	3.270516124
274	3.270274777
275	3.269198073
276	3.268843434
277	3.268378824
278	3.267571103
279	3.263483797
