iter	Passed	Remaining
0	297	296888
1	393	196264
2	474	157732
3	553	137922
4	618	123080
5	695	115229
6	805	114334
7	887	110057
8	989	108952
9	1070	106020
10	1161	104466
11	1240	102155
12	1316	99948
13	1411	99411
14	1493	98093
15	1572	96706
16	1645	95177
17	1714	93519
18	1781	91967
19	1856	90954
20	1915	89318
21	1987	88367
22	2079	88318
23	2150	87445
24	2222	86675
25	2306	86412
26	2371	85462
27	2433	84464
28	2513	84162
29	2584	83551
30	2657	83061
31	2722	82348
32	2790	81765
33	2861	81300
34	2922	80580
35	2993	80147
36	3070	79923
37	3137	79438
38	3216	79251
39	3293	79033
40	3379	79058
41	3445	78591
42	3525	78469
43	3587	77952
44	3670	77891
45	3747	77715
46	3824	77557
47	3895	77264
48	3960	76873
49	4032	76609
50	4102	76338
51	4167	75978
52	4243	75825
53	4305	75424
54	4383	75318
55	4448	74985
56	4503	74502
57	4589	74543
58	4664	74388
59	4727	74071
60	4792	73778
61	4858	73503
62	4917	73138
63	4991	72999
64	5064	72856
65	5142	72772
66	5215	72623
67	5279	72355
68	5334	71976
69	5414	71934
70	5491	71847
71	5553	71576
72	5637	71583
73	5716	71537
74	5783	71329
75	5848	71109
76	5923	71007
77	5991	70820
78	6061	70666
79	6129	70494
80	6198	70328
81	6270	70195
82	6330	69941
83	6404	69838
84	6465	69595
85	6532	69429
86	6620	69480
87	6692	69358
88	6770	69303
89	6846	69223
90	6927	69201
91	6999	69083
92	7069	68942
93	7146	68879
94	7214	68731
95	7297	68714
96	7363	68553
97	7428	68369
98	7496	68221
99	7571	68145
100	7645	68055
101	7720	67969
102	7789	67840
103	7853	67662
104	7910	67424
105	7971	67231
106	8046	67154
107	8126	67122
108	8197	67007
109	8267	66890
110	8334	66748
111	8403	66624
112	8472	66508
113	8539	66370
114	8619	66330
115	8687	66205
116	8745	66003
117	8803	65804
118	8878	65731
119	8948	65619
120	9029	65594
121	9108	65550
122	9174	65416
123	9248	65334
124	9315	65207
125	9370	65000
126	9453	64986
127	9527	64904
128	9590	64754
129	9660	64649
130	9723	64503
131	9790	64382
132	9862	64291
133	9940	64240
134	10011	64145
135	10079	64036
136	10146	63916
137	10223	63861
138	10303	63822
139	10375	63732
140	10445	63637
141	10505	63477
142	10569	63343
143	10638	63240
144	10716	63188
145	10791	63122
146	10875	63104
147	10946	63017
148	11017	62924
149	11089	62837
150	11153	62709
151	11229	62648
152	11299	62556
153	11364	62432
154	11434	62334
155	11504	62244
156	11590	62233
157	11671	62197
158	11747	62137
159	11812	62013
160	11886	61945
161	11960	61869
162	12030	61775
163	12111	61737
164	12168	61578
165	12227	61434
166	12290	61303
167	12362	61221
168	12438	61164
169	12521	61131
170	12592	61047
171	12662	60957
172	12734	60876
173	12804	60783
174	12881	60726
175	12955	60656
176	13028	60581
177	13112	60553
178	13194	60517
179	13320	60681
180	13398	60626
181	13468	60536
182	13537	60439
183	13627	60435
184	13699	60351
185	13803	60410
186	13895	60410
187	13963	60310
188	14019	60159
189	14088	60063
190	14229	60272
191	14353	60405
192	14428	60330
193	14509	60282
194	14595	60254
195	14680	60219
196	14758	60156
197	14837	60100
198	14902	59986
199	14978	59914
200	15044	59805
201	15106	59679
202	15192	59645
203	15280	59625
204	15366	59592
205	15437	59500
206	15511	59423
207	15601	59406
208	15690	59383
209	15765	59309
210	15844	59247
211	15927	59200
212	15998	59112
213	16077	59050
214	16149	58963
215	16235	58928
216	16308	58845
217	16392	58800
218	16466	58723
219	16541	58645
220	16613	58561
221	16691	58497
222	16765	58416
223	16830	58306
224	16901	58215
225	16984	58168
226	17061	58098
227	17121	57971
228	17188	57870
229	17259	57780
230	17346	57746
231	17420	57668
232	17494	57588
233	17564	57496
234	17637	57414
235	17730	57400
236	17831	57405
237	17901	57314
238	17968	57212
239	18042	57133
240	18121	57072
241	18190	56976
242	18263	56894
243	18354	56869
244	18430	56795
245	18502	56711
246	18586	56662
247	18666	56600
248	18769	56611
249	18853	56561
250	18921	56464
